2	2048	256	2048	Run fp8 Flatmm kernel  M = 2048 N = 256 K = 2048 StrideA = 2048 StrideB = 2048 StrideC = 256 : 0.0237232 ms, 93.3513 TFlops, 249.318 GB/s, 
2	2048	512	2560	Run fp8 Flatmm kernel  M = 2048 N = 512 K = 2560 StrideA = 2560 StrideB = 2560 StrideC = 512 : 0.026863 ms, 206.1 TFlops, 329.656 GB/s, 
2	2048	512	6144	Run fp8 Flatmm kernel  M = 2048 N = 512 K = 6144 StrideA = 6144 StrideB = 6144 StrideC = 512 : 0.0571942 ms, 232.323 TFlops, 320.265 GB/s, 
2	2048	768	24	FAILED
2	2048	768	32	FAILED
2	2048	768	64	FAILED
2	2048	768	92	FAILED
2	2048	768	96	FAILED
2	2048	768	104	FAILED
2	2048	768	152	FAILED
2	2048	768	240	FAILED
2	2048	768	520	FAILED
2	2048	768	1840	FAILED
2	2048	1024	1024	Run fp8 Flatmm kernel  M = 2048 N = 1024 K = 1024 StrideA = 1024 StrideB = 1024 StrideC = 1024 : 0.0191009 ms, 231.884 TFlops, 389.424 GB/s, 
2	2048	1024	3490	FAILED
2	2048	1024	12288	Run fp8 Flatmm kernel  M = 2048 N = 1024 K = 12288 StrideA = 12288 StrideB = 12288 StrideC = 1024 : 0.0996463 ms, 533.389 TFlops, 432.758 GB/s, 
2	2048	1024	16128	Run fp8 Flatmm kernel  M = 2048 N = 1024 K = 16128 StrideA = 16128 StrideB = 16128 StrideC = 1024 : 0.127826 ms, 545.737 TFlops, 432.522 GB/s, 
2	2048	1024	105728	Run fp8 Flatmm kernel  M = 2048 N = 1024 K = 105728 StrideA = 105728 StrideB = 105728 StrideC = 1024 : 0.928706 ms, 492.42 TFlops, 365.176 GB/s, 
2	2048	2048	3490	FAILED
2	2048	3490	1024	FAILED
2	2048	4096	4096	Run fp8 Flatmm kernel  M = 2048 N = 4096 K = 4096 StrideA = 4096 StrideB = 4096 StrideC = 4096 : 0.0560324 ms, 1264.75 TFlops, 762.585 GB/s, 
2	2048	6144	512	Run fp8 Flatmm kernel  M = 2048 N = 6144 K = 512 StrideA = 512 StrideB = 512 StrideC = 6144 : 0.029333 ms, 452.991 TFlops, 1005.39 GB/s, 
