1	main	2048	6144	512	   2048x  6144x   512 wg=  256 S=1 -> 128x384 :  0.016134 ms   798.613 TFLOPs
1	pr7	2048	6144	512	   2048x  6144x   512 wg=  256 S=1 -> 128x384 :  0.015686 ms   821.422 TFLOPs
1	main	2048	2048	3490	   2048x  2048x  3490 wg=  256 S=2 -> 128x256 :  0.035378 ms   827.524 TFLOPs
1	pr7	2048	2048	3490	   2048x  2048x  3490 wg=  256 S=2 -> 128x256 :  0.035306 ms   829.212 TFLOPs
1	main	2048	1024	105728	   2048x  1024x105728 wg=  256 S=4 -> 128x256 :  0.314550 ms  1409.808 TFLOPs
1	pr7	2048	1024	105728	   2048x  1024x105728 wg=  256 S=4 -> 128x256 :  0.319908 ms  1386.195 TFLOPs
1	main	2048	1024	16128	   2048x  1024x 16128 wg=  256 S=4 -> 128x256 :  0.053660 ms  1260.635 TFLOPs
1	pr7	2048	1024	16128	   2048x  1024x 16128 wg=  256 S=4 -> 128x256 :  0.053186 ms  1271.868 TFLOPs
1	main	2048	4096	4096	   2048x  4096x  4096 wg=  256 S=1 -> 128x256 :  0.042682 ms  1610.028 TFLOPs
1	pr7	2048	4096	4096	   2048x  4096x  4096 wg=  256 S=1 -> 128x256 :  0.042252 ms  1626.416 TFLOPs
1	main	2048	128	64	   2048x   128x    64 wg=   16 S=1 -> 128x128 :  0.003994 ms     8.401 TFLOPs
1	pr7	2048	128	64	   2048x   128x    64 wg=    0 S=1 -> 256x256 :  0.008086 ms     4.150 TFLOPs
1	main	2048	128	1840	   2048x   128x  1840 wg=   16 S=1 -> 128x128 :  0.012716 ms    75.864 TFLOPs
1	pr7	2048	128	1840	   2048x   128x  1840 wg=    0 S=1 -> 256x256 :  0.023656 ms    40.780 TFLOPs
2	main	2048	6144	512	   2048x  6144x   512 wg=  256 S=1 -> 128x384 :  0.016270 ms   791.937 TFLOPs
2	pr7	2048	6144	512	   2048x  6144x   512 wg=  256 S=1 -> 128x384 :  0.018346 ms   702.324 TFLOPs
2	main	2048	2048	3490	   2048x  2048x  3490 wg=  256 S=2 -> 128x256 :  0.036016 ms   812.865 TFLOPs
2	pr7	2048	2048	3490	   2048x  2048x  3490 wg=  256 S=2 -> 128x256 :  0.035124 ms   833.509 TFLOPs
2	main	2048	1024	105728	   2048x  1024x105728 wg=  256 S=4 -> 128x256 :  0.319852 ms  1386.440 TFLOPs
2	pr7	2048	1024	105728	   2048x  1024x105728 wg=  256 S=4 -> 128x256 :  0.315683 ms  1404.751 TFLOPs
2	main	2048	1024	16128	   2048x  1024x 16128 wg=  256 S=4 -> 128x256 :  0.053800 ms  1257.347 TFLOPs
2	pr7	2048	1024	16128	   2048x  1024x 16128 wg=  256 S=4 -> 128x256 :  0.053320 ms  1268.671 TFLOPs
2	main	2048	4096	4096	   2048x  4096x  4096 wg=  256 S=1 -> 128x256 :  0.042336 ms  1623.193 TFLOPs
2	pr7	2048	4096	4096	   2048x  4096x  4096 wg=  256 S=1 -> 128x256 :  0.042064 ms  1633.683 TFLOPs
2	main	2048	128	64	   2048x   128x    64 wg=   16 S=1 -> 128x128 :  0.003988 ms     8.414 TFLOPs
2	pr7	2048	128	64	   2048x   128x    64 wg=    0 S=1 -> 256x256 :  0.008070 ms     4.158 TFLOPs
2	main	2048	128	1840	   2048x   128x  1840 wg=   16 S=1 -> 128x128 :  0.012696 ms    75.984 TFLOPs
2	pr7	2048	128	1840	   2048x   128x  1840 wg=    0 S=1 -> 256x256 :  0.023676 ms    40.745 TFLOPs
3	main	2048	6144	512	   2048x  6144x   512 wg=  256 S=1 -> 128x384 :  0.015330 ms   840.497 TFLOPs
3	pr7	2048	6144	512	   2048x  6144x   512 wg=  256 S=1 -> 128x384 :  0.014278 ms   902.424 TFLOPs
3	main	2048	2048	3490	   2048x  2048x  3490 wg=  256 S=2 -> 128x256 :  0.035296 ms   829.445 TFLOPs
3	pr7	2048	2048	3490	   2048x  2048x  3490 wg=  256 S=2 -> 128x256 :  0.034896 ms   838.955 TFLOPs
3	main	2048	1024	105728	   2048x  1024x105728 wg=  256 S=4 -> 128x256 :  0.315810 ms  1404.185 TFLOPs
3	pr7	2048	1024	105728	   2048x  1024x105728 wg=  256 S=4 -> 128x256 :  0.315274 ms  1406.573 TFLOPs
3	main	2048	1024	16128	   2048x  1024x 16128 wg=  256 S=4 -> 128x256 :  0.053434 ms  1265.962 TFLOPs
3	pr7	2048	1024	16128	   2048x  1024x 16128 wg=  256 S=4 -> 128x256 :  0.054146 ms  1249.315 TFLOPs
3	main	2048	4096	4096	   2048x  4096x  4096 wg=  256 S=1 -> 128x256 :  0.042868 ms  1603.041 TFLOPs
