1	main	2048	1	512	   2048x     1x   512 wg=    0 S=1 -> 256x256 :  0.000184 ms    11.398 TFLOPs
1	pr7	2048	1	512	GPU coredump: execvp failed: No such file or directory
1	main	2048	128	24	   2048x   128x    24 wg=   16 S=1 -> 128x128 :  0.004006 ms     3.141 TFLOPs
1	pr7	2048	128	24	   2048x   128x    24 wg=    0 S=1 -> 256x256 :  0.008044 ms     1.564 TFLOPs
1	main	2048	128	32	   2048x   128x    32 wg=   16 S=1 -> 128x128 :  0.004006 ms     4.188 TFLOPs
1	pr7	2048	128	32	   2048x   128x    32 wg=    0 S=1 -> 256x256 :  0.008066 ms     2.080 TFLOPs
1	main	2048	128	64	   2048x   128x    64 wg=   16 S=1 -> 128x128 :  0.004002 ms     8.384 TFLOPs
1	pr7	2048	128	64	   2048x   128x    64 wg=    0 S=1 -> 256x256 :  0.008076 ms     4.155 TFLOPs
1	main	2048	128	92	   2048x   128x    92 wg=   16 S=1 -> 128x128 :  0.003988 ms    12.095 TFLOPs
1	pr7	2048	128	92	   2048x   128x    92 wg=    0 S=1 -> 256x256 :  0.008060 ms     5.984 TFLOPs
1	main	2048	128	96	   2048x   128x    96 wg=   16 S=1 -> 128x128 :  0.003996 ms    12.596 TFLOPs
1	pr7	2048	128	96	   2048x   128x    96 wg=    0 S=1 -> 256x256 :  0.008066 ms     6.240 TFLOPs
1	main	2048	128	104	   2048x   128x   104 wg=   16 S=1 -> 128x128 :  0.004018 ms    13.570 TFLOPs
1	pr7	2048	128	104	   2048x   128x   104 wg=    0 S=1 -> 256x256 :  0.008074 ms     6.753 TFLOPs
1	main	2048	128	152	   2048x   128x   152 wg=   16 S=1 -> 128x128 :  0.003994 ms    19.953 TFLOPs
1	pr7	2048	128	152	   2048x   128x   152 wg=    0 S=1 -> 256x256 :  0.008078 ms     9.865 TFLOPs
1	main	2048	128	240	   2048x   128x   240 wg=   16 S=1 -> 128x128 :  0.005142 ms    24.471 TFLOPs
1	pr7	2048	128	240	   2048x   128x   240 wg=    0 S=1 -> 256x256 :  0.009748 ms    12.908 TFLOPs
1	main	2048	128	520	   2048x   128x   520 wg=   16 S=1 -> 128x128 :  0.006086 ms    44.796 TFLOPs
1	pr7	2048	128	520	   2048x   128x   520 wg=    0 S=1 -> 256x256 :  0.011478 ms    23.752 TFLOPs
1	main	2048	128	1840	   2048x   128x  1840 wg=   16 S=1 -> 128x128 :  0.012698 ms    75.972 TFLOPs
1	pr7	2048	128	1840	   2048x   128x  1840 wg=    0 S=1 -> 256x256 :  0.023646 ms    40.797 TFLOPs
1	main	2048	256	64	   2048x   256x    64 wg=   16 S=1 -> 128x256 :  0.005220 ms    12.856 TFLOPs
1	pr7	2048	256	64	   2048x   256x    64 wg=   16 S=1 -> 128x256 :  0.004920 ms    13.640 TFLOPs
1	main	2048	256	80	   2048x   256x    80 wg=   16 S=1 -> 128x256 :  0.005240 ms    16.009 TFLOPs
1	pr7	2048	256	80	   2048x   256x    80 wg=   16 S=1 -> 128x256 :  0.004932 ms    17.008 TFLOPs
1	main	2048	256	96	   2048x   256x    96 wg=   16 S=1 -> 128x256 :  0.005218 ms    19.291 TFLOPs
1	pr7	2048	256	96	   2048x   256x    96 wg=   16 S=1 -> 128x256 :  0.004926 ms    20.435 TFLOPs
1	main	2048	256	128	   2048x   256x   128 wg=   16 S=1 -> 128x256 :  0.005236 ms    25.633 TFLOPs
1	pr7	2048	256	128	   2048x   256x   128 wg=   16 S=1 -> 128x256 :  0.004948 ms    27.126 TFLOPs
1	main	2048	256	144	   2048x   256x   144 wg=   16 S=1 -> 128x256 :  0.005214 ms    28.960 TFLOPs
1	pr7	2048	256	144	   2048x   256x   144 wg=   16 S=1 -> 128x256 :  0.004940 ms    30.566 TFLOPs
1	main	2048	256	160	   2048x   256x   160 wg=   16 S=1 -> 128x256 :  0.005218 ms    32.153 TFLOPs
1	pr7	2048	256	160	   2048x   256x   160 wg=   16 S=1 -> 128x256 :  0.004912 ms    34.156 TFLOPs
1	main	2048	256	256	   2048x   256x   256 wg=   16 S=1 -> 128x256 :  0.006772 ms    39.639 TFLOPs
1	pr7	2048	256	256	   2048x   256x   256 wg=   16 S=1 -> 128x256 :  0.006212 ms    43.212 TFLOPs
1	main	2048	256	512	   2048x   256x   512 wg=   16 S=1 -> 128x256 :  0.007942 ms    67.599 TFLOPs
1	pr7	2048	256	512	   2048x   256x   512 wg=   16 S=1 -> 128x256 :  0.007382 ms    72.727 TFLOPs
1	main	2048	256	2048	   2048x   256x  2048 wg=   16 S=1 -> 128x256 :  0.017496 ms   122.741 TFLOPs
1	pr7	2048	256	2048	   2048x   256x  2048 wg=   16 S=1 -> 128x256 :  0.016988 ms   126.411 TFLOPs
1	main	2048	512	2560	   2048x   512x  2560 wg=   32 S=1 -> 128x256 :  0.021312 ms   251.909 TFLOPs
1	pr7	2048	512	2560	   2048x   512x  2560 wg=   32 S=1 -> 128x256 :  0.020748 ms   258.758 TFLOPs
1	main	2048	512	6144	   2048x   512x  6144 wg=  128 S=4 -> 128x256 :  0.024034 ms   536.111 TFLOPs
1	pr7	2048	512	6144	   2048x   512x  6144 wg=  128 S=4 -> 128x256 :  0.023480 ms   548.757 TFLOPs
1	main	2048	768	24	   2048x   768x    24 wg=   48 S=1 -> 128x256 :  0.005500 ms    13.727 TFLOPs
1	pr7	2048	768	24	   2048x   768x    24 wg=   48 S=1 -> 128x256 :  0.005216 ms    14.474 TFLOPs
1	main	2048	768	32	   2048x   768x    32 wg=   48 S=1 -> 128x256 :  0.005494 ms    18.322 TFLOPs
1	pr7	2048	768	32	   2048x   768x    32 wg=   48 S=1 -> 128x256 :  0.005214 ms    19.306 TFLOPs
1	main	2048	768	64	   2048x   768x    64 wg=   48 S=1 -> 128x256 :  0.005496 ms    36.631 TFLOPs
1	pr7	2048	768	64	   2048x   768x    64 wg=   48 S=1 -> 128x256 :  0.005194 ms    38.761 TFLOPs
1	main	2048	768	92	   2048x   768x    92 wg=   48 S=1 -> 128x256 :  0.005518 ms    52.448 TFLOPs
1	pr7	2048	768	92	   2048x   768x    92 wg=   48 S=1 -> 128x256 :  0.005200 ms    55.655 TFLOPs
1	main	2048	768	96	   2048x   768x    96 wg=   48 S=1 -> 128x256 :  0.005522 ms    54.688 TFLOPs
1	pr7	2048	768	96	   2048x   768x    96 wg=   48 S=1 -> 128x256 :  0.005204 ms    58.030 TFLOPs
1	main	2048	768	104	   2048x   768x   104 wg=   48 S=1 -> 128x256 :  0.005502 ms    59.461 TFLOPs
1	pr7	2048	768	104	   2048x   768x   104 wg=   48 S=1 -> 128x256 :  0.005210 ms    62.794 TFLOPs
1	main	2048	768	152	   2048x   768x   152 wg=   48 S=1 -> 128x256 :  0.005498 ms    86.968 TFLOPs
1	pr7	2048	768	152	   2048x   768x   152 wg=   48 S=1 -> 128x256 :  0.005202 ms    91.917 TFLOPs
1	main	2048	768	240	   2048x   768x   240 wg=   48 S=1 -> 128x256 :  0.007086 ms   106.544 TFLOPs
1	pr7	2048	768	240	   2048x   768x   240 wg=   48 S=1 -> 128x256 :  0.006486 ms   116.401 TFLOPs
1	main	2048	768	520	   2048x   768x   520 wg=   48 S=1 -> 128x256 :  0.008226 ms   198.853 TFLOPs
1	pr7	2048	768	520	   2048x   768x   520 wg=   48 S=1 -> 128x256 :  0.007660 ms   213.548 TFLOPs
1	main	2048	768	1840	   2048x   768x  1840 wg=   48 S=1 -> 128x256 :  0.016746 ms   345.641 TFLOPs
1	pr7	2048	768	1840	   2048x   768x  1840 wg=   48 S=1 -> 128x256 :  0.016134 ms   358.754 TFLOPs
1	main	2048	1024	1024	   2048x  1024x  1024 wg=   64 S=1 -> 128x256 :  0.012036 ms   356.842 TFLOPs
1	pr7	2048	1024	1024	   2048x  1024x  1024 wg=   64 S=1 -> 128x256 :  0.011440 ms   375.433 TFLOPs
1	main	2048	1024	3490	   2048x  1024x  3490 wg=  128 S=2 -> 128x256 :  0.027208 ms   538.006 TFLOPs
1	pr7	2048	1024	3490	   2048x  1024x  3490 wg=  128 S=2 -> 128x256 :  0.026726 ms   547.710 TFLOPs
1	main	2048	1024	12288	   2048x  1024x 12288 wg=  256 S=4 -> 128x256 :  0.045472 ms  1133.431 TFLOPs
1	pr7	2048	1024	12288	   2048x  1024x 12288 wg=  256 S=4 -> 128x256 :  0.045326 ms  1137.083 TFLOPs
